Type of Virtualization | Container CPU Size | Threads | Latency (Milliseconds) | Throughput (Gbps)
LXC Container | 1 | 1 | icwnd=24 | 58762037
LXC Container | 1 | 2 | icwnd=18 | 
LXC Container | 1 | 4 | icwnd=16 | 
LXC Container | 1 | 8 | icwnd=20 | 
LXC Container | 1 | 16 | icwnd=13 | 
LXC Container | 1 | 32 | icwnd=10 | 
LXC Container | 1 | 64 | icwnd=19 | 
LXC Container | 2 | 1 | icwnd=25 | 3794410
LXC Container | 2 | 2 | icwnd=23 | 
LXC Container | 2 | 4 | icwnd=18 | 
LXC Container | 2 | 8 | icwnd=18 | 
LXC Container | 2 | 16 | icwnd=17 | 
LXC Container | 2 | 32 | icwnd=17 | 
LXC Container | 2 | 64 | icwnd=20 | 
LXC Container | 4 | 1 | icwnd=24 | 434466710
LXC Container | 4 | 2 | icwnd=16 | 
LXC Container | 4 | 4 | icwnd=11 | 
LXC Container | 4 | 8 | icwnd=17 | 
LXC Container | 4 | 16 | icwnd=10 | 
LXC Container | 4 | 32 | icwnd=25 | 
LXC Container | 4 | 64 | icwnd=16 | 
LXC Container | 8 | 1 | icwnd=26 | 447113791
LXC Container | 8 | 2 | icwnd=18 | 
LXC Container | 8 | 4 | icwnd=10 | 
LXC Container | 8 | 8 | icwnd=19 | 
LXC Container | 8 | 16 | icwnd=16 | 
LXC Container | 8 | 32 | icwnd=11 | 
LXC Container | 8 | 64 | icwnd=22 | 
LXC Container | 16 | 1 | icwnd=19 | 416176456
LXC Container | 16 | 2 | icwnd=19 | 
LXC Container | 16 | 4 | icwnd=14 | 
LXC Container | 16 | 8 | icwnd=22 | 
LXC Container | 16 | 16 | icwnd=53 | 
LXC Container | 16 | 32 | icwnd=13 | 
LXC Container | 16 | 64 | icwnd=18 | 
LXC Container | 32 | 1 | icwnd=23 | 484565073
LXC Container | 32 | 2 | icwnd=20 | 
LXC Container | 32 | 4 | icwnd=24 | 
LXC Container | 32 | 8 | icwnd=23 | 
LXC Container | 32 | 16 | icwnd=22 | 
LXC Container | 32 | 32 | icwnd=14 | 
LXC Container | 32 | 64 | icwnd=10 | 
LXC Container | 64 | 1 | icwnd=20 | 4737099
LXC Container | 64 | 2 | icwnd=19 | 
LXC Container | 64 | 4 | icwnd=17 | 
LXC Container | 64 | 8 | icwnd=22 | 
LXC Container | 64 | 16 | icwnd=25 | 
LXC Container | 64 | 32 | icwnd=24 | 
LXC Container | 64 | 64 | icwnd=18 | 
