Type_of_Virtualization | VM_Identifier | Thread_Count | Latency_Avg(ms) | Events_Per_Sec
Owaiz_VM_Type | OwaizVM1 | 1 | 26.55 | 37.65
Owaiz_VM_Type | OwaizVM1 | 2 | 35.75 | 55.91
Owaiz_VM_Type | OwaizVM1 | 4 | 54.00 | 73.94
Owaiz_VM_Type | OwaizVM1 | 8 | 90.67 | 87.91
Owaiz_VM_Type | OwaizVM1 | 16 | 165.83 | 96.40
Owaiz_VM_Type | OwaizVM1 | 32 | 318.64 | 99.73
Owaiz_VM_Type | OwaizVM1 | 64 | 611.05 | 104.02
Owaiz_VM_Type | OwaizVM2 | 1 | 10.41 | 96.04
Owaiz_VM_Type | OwaizVM2 | 2 | 17.57 | 113.70
Owaiz_VM_Type | OwaizVM2 | 4 | 29.83 | 133.96
Owaiz_VM_Type | OwaizVM2 | 8 | 51.26 | 155.68
Owaiz_VM_Type | OwaizVM2 | 16 | 92.37 | 172.40
Owaiz_VM_Type | OwaizVM2 | 32 | 168.01 | 188.80
Owaiz_VM_Type | OwaizVM2 | 64 | 314.23 | 202.13
Owaiz_VM_Type | OwaizVM4 | 1 | 9.37 | 106.75
Owaiz_VM_Type | OwaizVM4 | 2 | 9.44 | 211.62
Owaiz_VM_Type | OwaizVM4 | 4 | 12.31 | 324.68
Owaiz_VM_Type | OwaizVM4 | 8 | 24.37 | 327.52
Owaiz_VM_Type | OwaizVM4 | 16 | 45.81 | 348.15
Owaiz_VM_Type | OwaizVM4 | 32 | 83.42 | 380.76
Owaiz_VM_Type | OwaizVM4 | 64 | 157.03 | 400.65
Owaiz_VM_Type | OwaizVM8 | 1 | 9.37 | 106.71
Owaiz_VM_Type | OwaizVM8 | 2 | 9.42 | 212.26
Owaiz_VM_Type | OwaizVM8 | 4 | 9.38 | 425.76
Owaiz_VM_Type | OwaizVM8 | 8 | 10.92 | 731.72
Owaiz_VM_Type | OwaizVM8 | 16 | 21.51 | 742.01
Owaiz_VM_Type | OwaizVM8 | 32 | 41.67 | 763.81
Owaiz_VM_Type | OwaizVM8 | 64 | 79.76 | 792.82
Owaiz_VM_Type | OwaizVM16 | 1 | 9.38 | 106.47
Owaiz_VM_Type | OwaizVM16 | 2 | 9.40 | 212.67
Owaiz_VM_Type | OwaizVM16 | 4 | 9.42 | 424.07
Owaiz_VM_Type | OwaizVM16 | 8 | 9.36 | 853.71
Owaiz_VM_Type | OwaizVM16 | 16 | 10.11 | 1581.98
Owaiz_VM_Type | OwaizVM16 | 32 | 20.08 | 1589.98
Owaiz_VM_Type | OwaizVM16 | 64 | 39.55 | 1609.89
Owaiz_VM_Type | OwaizVM32 | 1 | 9.40 | 106.33
Owaiz_VM_Type | OwaizVM32 | 2 | 9.38 | 213.18
Owaiz_VM_Type | OwaizVM32 | 4 | 9.38 | 426.03
Owaiz_VM_Type | OwaizVM32 | 8 | 9.38 | 852.69
Owaiz_VM_Type | OwaizVM32 | 16 | 9.38 | 1703.67
Owaiz_VM_Type | OwaizVM32 | 32 | 9.73 | 3285.56
Owaiz_VM_Type | OwaizVM32 | 64 | 19.39 | 3294.83
Owaiz_VM_Type | OwaizVM64 | 1 | 9.39 | 106.41
Owaiz_VM_Type | OwaizVM64 | 2 | 9.38 | 213.24
Owaiz_VM_Type | OwaizVM64 | 4 | 9.40 | 425.22
Owaiz_VM_Type | OwaizVM64 | 8 | 9.42 | 849.10
Owaiz_VM_Type | OwaizVM64 | 16 | 9.39 | 1703.07
Owaiz_VM_Type | OwaizVM64 | 32 | 9.40 | 3401.68
Owaiz_VM_Type | OwaizVM64 | 64 | 10.55 | 6056.73
